"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,26159.84,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,26618.98,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,26834.82,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,26424.06,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,27300.41,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,26822.27,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,27167.32,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,27030.82,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,27235.36,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,27606.29,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,27688.09,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,27774.58,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,28113.37,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,28439.23,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,28692.89,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,29112.02,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,29580.17,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,30027.19,,
"AUS","Australia","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2021","2021","USD","US Dollar","0","Units",,,29811.66,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,6.97,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,6.9,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,6.83,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,7.01,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,7.33,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,7.47,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,7.68,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,7.76,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,8.1,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,8.07,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,7.91,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,7.72,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,7.66,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,7.67,,
